,ext_debt_stocks,inflation_rate,unemployment_rate,mortality_by_1000,resources_rent_procent_of_GDP,military_expenditure_procent_of_GDP,arms_imports,democracy_index,corruption_index,GPD_per_capita,fertility_rate,energy_access_procent_of_population,population,unseat_current_state_head_attempt,trade_openness,state_control_over_territory,political_violence
48,75052145049.5,3.76511916356584,3.78,7.036,0.855531326817237,3.59474546951394,20.545334628453748,0.237,0.818,11.46577941150978,3.61,71.55022430419922,9.98488074789053,0.0,2.5,85.1,0.999
49,75052145049.5,3.76511916356584,3.78,7.036,0.855531326817237,3.59474546951394,20.545334628453748,0.237,0.818,11.46577941150978,3.61,71.55022430419922,9.98488074789053,0.0,2.5,85.1,0.999
50,75052145049.5,3.76511916356584,3.78,7.036,0.855531326817237,3.59474546951394,20.545334628453748,0.237,0.818,11.46577941150978,3.61,71.55022430419922,9.98488074789053,0.0,2.5,85.1,0.999
51,75052145049.5,3.76511916356584,3.78,7.036,0.855531326817237,3.59474546951394,20.545334628453748,0.237,0.818,11.46577941150978,3.61,71.55022430419922,9.98488074789053,0.0,2.5,85.1,0.999
52,9133608406.4,35.7225982298716,3.08,18.88,11.2321022647339,5.70513154467309,18.197537192638155,0.078,0.535,8.224837280243552,7.19,0.0,8.56279504021039,0.0,1.3,89.429,1.805
53,5484154972.0,32.2720382866416,0.76,11.31,1.88020257088527,3.17100459309858,19.262247929630583,0.1,0.8,6.333279628139691,3.3,35.0,8.31090675716845,0.0,0.3,0.0,0.0
54,5484154972.0,32.2720382866416,0.76,11.31,1.88020257088527,3.17100459309858,19.262247929630583,0.1,0.8,6.333279628139691,3.3,35.0,8.31090675716845,0.0,0.3,0.0,0.0
55,5484154972.0,32.2720382866416,0.76,11.31,1.88020257088527,3.17100459309858,19.262247929630583,0.1,0.8,6.333279628139691,3.3,35.0,8.31090675716845,0.0,0.3,0.0,0.0
56,5484154972.0,32.2720382866416,0.76,11.31,1.88020257088527,3.17100459309858,19.262247929630583,0.1,0.8,6.333279628139691,3.3,35.0,8.31090675716845,0.0,0.3,0.0,0.0
57,5484154972.0,32.2720382866416,0.76,11.31,1.88020257088527,3.17100459309858,19.262247929630583,0.1,0.8,6.333279628139691,3.3,35.0,8.31090675716845,0.0,0.3,0.0,0.0
58,5484154972.0,32.2720382866416,0.76,11.31,1.88020257088527,3.17100459309858,19.262247929630583,0.1,0.8,6.333279628139691,3.3,35.0,8.31090675716845,0.0,0.3,0.0,0.0
59,5484154972.0,32.2720382866416,0.76,11.31,1.88020257088527,3.17100459309858,19.262247929630583,0.1,0.8,6.333279628139691,3.3,35.0,8.31090675716845,0.0,0.3,0.0,0.0
60,0.0,2.10501231233614,3.16000008583069,4.945,8.75724806356331,1.49929579850642,18.159315979817958,0.205,0.572,11.134980188611474,2.09,99.6044464111328,8.053946840256154,0.0,10.0,97.833,0.295
61,4748208496.5,36.7022953364139,8.81,6.417,13.8718176639329,4.1,20.061617323445837,0.15,0.8,7.67693714581808,3.1,90.8,7.72356247227797,0.0,6.3,0.0,0.0
62,4748208496.5,36.7022953364139,8.81,6.417,13.8718176639329,4.1,20.061617323445837,0.15,0.8,7.67693714581808,3.1,90.8,7.72356247227797,0.0,6.3,0.0,0.0
63,4748208496.5,36.7022953364139,8.81,6.417,13.8718176639329,4.1,20.061617323445837,0.15,0.8,7.67693714581808,3.1,90.8,7.72356247227797,0.0,6.3,0.0,0.0
64,4748208496.5,36.7022953364139,8.81,6.417,13.8718176639329,4.1,20.061617323445837,0.15,0.8,7.67693714581808,3.1,90.8,7.72356247227797,0.0,6.3,0.0,0.0
65,5558434812.7,3.7,18.85,11.444,13.4014161781294,1.2,0.0,0.102,0.915,7.892310830711295,6.07,50.76497650146485,7.354203008709334,0.0,0.01,48.0,2.715
66,5773699803.6,18.0141183371874,12.1899995803833,4.715,36.0426424158871,2.45625050479328,15.201804919084164,0.2,0.72,9.508368736482108,1.6,100.0,9.055089086704891,0.0,4.2,0.0,0.0
67,5773699803.6,18.0141183371874,12.1899995803833,4.715,36.0426424158871,2.45625050479328,15.201804919084164,0.2,0.72,9.508368736482108,1.6,100.0,9.055089086704891,0.0,4.2,0.0,0.0
68,5773699803.6,18.0141183371874,12.1899995803833,4.715,36.0426424158871,2.45625050479328,15.201804919084164,0.2,0.72,9.508368736482108,1.6,100.0,9.055089086704891,0.0,4.2,0.0,0.0
69,5773699803.6,18.0141183371874,12.1899995803833,4.715,36.0426424158871,2.45625050479328,15.201804919084164,0.2,0.72,9.508368736482108,1.6,100.0,9.055089086704891,0.0,4.2,0.0,0.0
70,4326265942.7,1.75985742927153,7.40999984741211,9.637,7.81614326291769,3.02663551651214,17.24949776244942,0.338,0.806,8.386545408618286,5.97,34.779998779296875,7.575135832905049,0.0,5.8,70.0,1.574
71,4326265942.7,1.75985742927153,7.40999984741211,9.637,7.81614326291769,3.02663551651214,17.24949776244942,0.338,0.806,8.386545408618286,5.97,34.779998779296875,7.575135832905049,0.0,5.8,70.0,1.574
72,4326265942.7,1.75985742927153,7.40999984741211,9.637,7.81614326291769,3.02663551651214,17.24949776244942,0.338,0.806,8.386545408618286,5.97,34.779998779296875,7.575135832905049,0.0,5.8,70.0,1.574
73,4326265942.7,1.75985742927153,7.40999984741211,9.637,7.81614326291769,3.02663551651214,17.24949776244942,0.338,0.806,8.386545408618286,5.97,34.779998779296875,7.575135832905049,0.0,5.8,70.0,1.574
74,4326265942.7,1.75985742927153,7.40999984741211,9.637,7.81614326291769,3.02663551651214,17.24949776244942,0.338,0.806,8.386545408618286,5.97,34.779998779296875,7.575135832905049,0.0,5.8,70.0,1.574
75,4765860589.2,200.0,8.83,7.696,12.4321481390096,4.1,20.04204722725174,0.14,0.0,7.048386408721883,3.0,90.2,7.673223121121708,0.0,6.5,0.0,0.0
76,4765860589.2,200.0,8.83,7.696,12.4321481390096,4.1,20.04204722725174,0.14,0.0,7.048386408721883,3.0,90.2,7.673223121121708,0.0,6.5,0.0,0.0
77,4765860589.2,200.0,8.83,7.696,12.4321481390096,4.1,20.04204722725174,0.14,0.0,7.048386408721883,3.0,90.2,7.673223121121708,0.0,6.5,0.0,0.0
